國文,英文,數學,社會,自然
10,14,10,13,15
14,15,15,7,6
10,11,8,11,6
9,8,12,14,13
14,8,10,11,7
7,13,14,15,12
7,7,11,8,14
10,11,9,8,8
15,6,14,7,9
13,12,13,12,11
12,8,14,11,12
10,6,7,8,9
10,13,15,7,9
13,13,15,9,15
14,6,8,6,15
14,13,8,8,9
8,7,10,12,8
15,15,11,13,8
8,15,15,14,8
12,13,13,6,7
13,6,15,8,7
14,12,14,11,14
7,8,14,6,6
12,6,11,12,6
13,11,7,8,6
6,9,9,8,8
8,8,13,7,9
15,15,12,15,6
15,11,12,14,8
7,13,14,6,12
7,13,13,10,10
15,7,15,15,8
11,11,12,11,10
11,8,12,15,13
8,9,11,13,13
15,8,13,15,6
10,8,13,12,8
12,8,14,9,9
13,10,7,15,12
13,9,13,11,12
12,6,9,14,12
12,15,10,15,6
12,12,14,10,9
8,11,15,11,7
9,14,13,7,13
7,10,12,8,10
14,12,14,13,9
11,7,15,8,6
9,12,15,14,14
15,9,7,13,11
8,15,7,11,14
8,13,12,14,12
9,9,14,9,11
12,6,11,11,12
7,10,13,10,12
10,7,14,6,10
7,8,7,13,6
7,13,11,13,8
7,12,8,9,9
10,9,8,6,14
7,9,6,6,6
9,9,8,10,13
10,6,12,6,11
9,6,10,15,6
9,6,12,6,6
10,14,6,10,14
13,6,7,15,12
13,8,14,6,14
13,15,11,11,8
10,8,9,11,13
9,8,12,10,10
7,11,8,8,8
14,12,10,6,6
9,6,10,12,7
6,11,7,6,13
15,12,10,15,11
10,12,10,13,11
12,12,12,11,15
8,6,6,14,15
14,6,10,8,12
13,9,14,11,15
9,14,6,11,6
11,15,15,8,13
11,10,11,14,11
10,14,13,8,8
14,7,6,12,14
14,11,6,6,15
10,8,9,8,11
13,6,12,6,15
12,8,12,14,12
10,7,7,11,9
9,12,11,12,7
15,12,10,15,12
14,9,10,9,12
11,11,8,12,10
12,15,7,9,8
10,6,6,13,9
8,6,13,6,11
10,11,7,13,9
14,7,10,8,14
